inputs_addresses,outputs_addresses,outputs_value
1BNVPHWhg8BeYznHRGujUoWHV1zSrsyE81,1BYYn91v8wgVJ35pYR9x5twhQMPtk3oDew,5000000000.0
1LcCCeeRwRu7xHuWF8LHoUbZMJwUhkQQCx,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
13E6ddP6uAhXfD1W2BYgvy8WVMt8fDov8D,1GiFyGXPd8qUNHe5dtWbt2G3dPs5rxRPeN,5000000000.0
1PhDyeEVBpBiBtg2vGxusPckQZJtmCuXbo,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1AcjDjktfoQyGtBwz9VqQ4PBc8Y1rsQVZL,16bEzsGPGXS1LcRcpAHavNasJaBsrwCoqh,5000000000.0
15pTSvpZRxqQyWjEQ3eZP9mwvu9D8zS3k5,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
12N6jqd2a9q416ynJoxHE95jHp9919kaui,1Kx4zHqAJvWrVsQXuAfTR3VWf8RPvL8i4v,5000000000.0
1EvfRfJL2N6r7Hha8G3eyS3aKZEnNgJ7ww,1DMD6S6rPwwTVHhSaLsfESAiMhCJYhj55e,5000000000.0
1CNAvKeyLV2zSpPfkjRPTZxmTHTcZ1NiHM,1DMD6S6rPwwTVHhSaLsfESAiMhCJYhj55e,5000000000.0
12v44P14NLEJXJQYwvzMWgTd9iJjrbttiu,16A6fMsu4mURRS3z7CZR7Ub5v6etcDy1i9,10000000000.0
1f9wkQ79qbWP1fLKaatoNxBovkyirDhbe,1CSH19xZC9Dn5E55Uz3eTu2HmKz4KZP9ig,5000000000.0
1FD2wgNguTmXjTZHoX4XDRE9gnvZKPN4Pk,1BYYn91v8wgVJ35pYR9x5twhQMPtk3oDew,5000000000.0
1GETzq6uDXDA3QK8166cMNuGXhUCWgkm92,1PAksBNU2KwUftBAhy5fSisrNMizDKFg8s,5000000000.0
1DfsDvrWNCh6CfWyy9WDNVsQoBAKCc4cYA,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1DTcNgXK7WV5UXT98xAKz9egRKnGAQ4aWo,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
1DmSNzCvgQypUxrqXkceixwwmy2KFvDX9d,1DMD6S6rPwwTVHhSaLsfESAiMhCJYhj55e,5000000000.0
1L3yFUedTco1ptxfMCn4VADoagqU5D7cUi,1BYYn91v8wgVJ35pYR9x5twhQMPtk3oDew,5000000000.0
1FxgX5EdMemcXsKz9cnkkMpsAQueULwK5S,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1BrjSC3DQ7s2jzgMqEBEfCsSWFudvhJZGE,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1L3QMpGiaCiQoRUQ7N4sbPgSGn9cFQ7ZSD,1Q9tEEVTimwGnpYzRf6b2vhdaZz9sG8WNy,5000000000.0
17g8e8eMqNm6rrUqsyNtTw83V15cgwwMXX,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1KCAiEkNpvz7XoWPU1cU8yiZUpcnN2L2hS,1QAb7fzfRZWrVkd3tjNnxJmTnHeJ6VCkFi,5000000000.0
1CEjvYMHEfAWQeByPYD6FiRgVnpYBWR3uR,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
19XTU3LVWSbEWWUF1DVJKFa7WDoKgQErVJ,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
17AoSkn5GfsQVyXJcdon2kNanAHAss5DB8,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
18qRSWp7YL3VuHf3dTuv9gZX4AsYvgRcVd,1FXavuV1rjJicYau2md7pa22Q3P4HEcMLN,5000000000.0
1GpqWxfco86GixLmcYeRwdjMc3zn3vg2D,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1PrrbKdwh5iTTrsdp3QyWgrNWmiFjcoC59,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1JD8CrjULQ9XEtM4924YoJyo5iMyJe7KHG,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
16TzA62S89aDGhsRnbLGRc8PJ7g1xn2NF5,16a3Q6sWBtkvbJFmzDFgA6mboaZ93qKoqV,5000000000.0
1BgmoAyHdxdN2q1QJtLF45TA7f7KbeWQt6,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
1EfFs1dT11Z9mjzpk9diWSk1KSc9tv4KNX,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1423ow59KgzuWQfR3GQrvjgxLaJABxZ2uZ,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1HTg2g3m2sHmqXAn1PqERQ8hWDuZQ4SSj5,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1AX15AuFSyYAoaAiZEYFiYyXiXL6pzHDWT,1BURYAajQczKwaH4eeaQi2bibJGfpkku3c,5000000000.0
16Ea33FYAJMACLMzhEHUjaxpqzKNV57rck,1AeZDWNbisbF31xvHrmjG3jAUBYsJUDZuk,5000000000.0
1Nr4KTMuHwoUyPX8rvizEM7yUNeLhDYcV3,1NGQTYLhQKpJfGuMdsurJMv9xdJ1fGY98z,5000000000.0
1BqSKw8o3iL6pB3HrsLwaGDHVYCTfpgttZ,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
18swdARxTEaLs9rivKY6ovk6qtysv6Ze5Z,1Q9tEEVTimwGnpYzRf6b2vhdaZz9sG8WNy,5000000000.0
1HfcNbGHqMiyLdaPv2Tvv8HLKHBRPWz59i,1QAb7fzfRZWrVkd3tjNnxJmTnHeJ6VCkFi,5000000000.0
1CGFu7UCvzBcHoaNDsncbHuLcSuP48XX7s,13ucPR8k54JbTBuWUAvRVGDswcE7jh2MC1,5000000000.0
1L4hWfEgE8nrq7Lp9omceqLRHUMrDod8Tv,1QAb7fzfRZWrVkd3tjNnxJmTnHeJ6VCkFi,5000000000.0
185auByTiLNZGHcwBjHieTY5pgu9bCWdYr,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,5000000000.0
1uMAGKbrzFadMvDPvQcFuM6aX318wS7AP,1BYYn91v8wgVJ35pYR9x5twhQMPtk3oDew,5000000000.0
1JTanrP4GrnfxYK4QwHFu69PFc8wsbPYNo,1BYYn91v8wgVJ35pYR9x5twhQMPtk3oDew,5000000000.0
1FZpdYYogjo4mDVwuNDM9KThFXEE3898tJ,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1CfHyAE87r2kMLmbCXotimoxMzhDnR6RGK,1Q9tEEVTimwGnpYzRf6b2vhdaZz9sG8WNy,5000000000.0
1JSfUfS3gVRT5Kh3n5dxXS5QEir49sieyt,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
1CC9LRGZTECqq1A3v4LVePmdUK3eW8e2tm,1DcXvfJdeJch9uptKopte5XQarTtj5ZjpL,5000000000.0
171KRaM5DCMEH65henGHWWNUXUSgwByGfw,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
17WgKwwdPoSVzigyLoZc2CyVt2LSkmJYoc,1BYYn91v8wgVJ35pYR9x5twhQMPtk3oDew,5000000000.0
1EV9QodCX92xEsy8cc2VwaKCvxx7iCSrhp,1Q9tEEVTimwGnpYzRf6b2vhdaZz9sG8WNy,5000000000.0
15K7JAr9z7R47URSywJ4C8kLYktaCV6Jed,16uPStYBb7c4dwcUNcmpkJdESfJHRtQpuu,5000000000.0
1HDZEgYpPdTn3C7onoAEJDJF5aQuUZrksT,16a3Q6sWBtkvbJFmzDFgA6mboaZ93qKoqV,5000000000.0
1GDc2cNVW3NG6tEx1WpGCyi3B8mUvfC5Tf,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
1FZfGhyTMzCGxNeJNTHjNDM7ZETzzLZT7r,1DMD6S6rPwwTVHhSaLsfESAiMhCJYhj55e,5000000000.0
1HKx2J8Hu8ex346xNwGd6DTWGwQaDxeMhu,1DMD6S6rPwwTVHhSaLsfESAiMhCJYhj55e,5000000000.0
1GS4LDKvHGeRBdhQ93ZGGtvfLD33qSA8tt,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
19CRAGuMtrB9Je8f2T49R7XtrT9nPnrc2P,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1H7Spxc1Rp64PRvm3bMNPg7mZBuVaLoeNN,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1KfyKrSc2MT8ghXypEJ7FLiDUbWxorPo5V,1Q9tEEVTimwGnpYzRf6b2vhdaZz9sG8WNy,5000000000.0
1EXmH4ZNF4qqiKvjDMjuyfqN6c4JBxvDRD,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
15HCaLm6e3WivQ6cbuCrKPsKuHK1eHxehQ,1AeZDWNbisbF31xvHrmjG3jAUBYsJUDZuk,50000000000.0
1EU9dwxcdXEYcTgnxn1ihxW6aPMAsA9zhK,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
14aW5jKAad7E5Rn9EXzd3c7h5BZPnKwgBg,16a3Q6sWBtkvbJFmzDFgA6mboaZ93qKoqV,5000000000.0
15Vbc8Mfp3UwUCVwZSLEAbAGJAVwDUfw2p,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1FtzAY11QiXopkB69asYttrtjBiUNdLAAx,16a3Q6sWBtkvbJFmzDFgA6mboaZ93qKoqV,5000000000.0
1KxxB9XCNtqxjTXbh7jDfuA9L54dXxQoPE,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,5000000000.0
18dxbN6m8zxieN8F9BchXmhbeXUdFLr8fD,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1HrfeREGAZUskjJ6REfvsty1MswLUR2P1V,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1Pxm7ZS3BQXUBjPJ8BzfkHtkXECCZXCG2N,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1EHxQiLQ7sraTmX1YXBobkyAaefs3BN7aL,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,5000000000.0
1AGRCcdSg1RyY6W7L1e7xQ5S1twQ33ugvN,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1Eiyu5dNizFeExWaEgYJzHrZ5qmdFpPq1L,1PAksBNU2KwUftBAhy5fSisrNMizDKFg8s,5000000000.0
15htrbaUpTFUosc3Pjk3iWoCv9oDB68AWk,1PAksBNU2KwUftBAhy5fSisrNMizDKFg8s,5000000000.0
1Gj7y3yzsvzLQWk1ipp7S3vZgbc8NWrFAC,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1NM87K5ZWqwM1fkwgB5BzgiCLjcUjwz7gv,1BYYn91v8wgVJ35pYR9x5twhQMPtk3oDew,5000000000.0
1Ho38Szugb1cd6WiqwKNeVWhngkx4jGn52,1HSbBi1K4aVRfvge6XKrQpNcUA9Wp96RHJ,5000000000.0
1Cf4pahhj5LQ8FR7SZvMYDEJpsmhy1mC9f,1QAb7fzfRZWrVkd3tjNnxJmTnHeJ6VCkFi,5000000000.0
1DgmzdqLPFPw8JpKDEd63dLVYuaKBydJbi,1H2TJqSGZevgCDrGmGhKuQ41fmRbTjFrBB,8000000000.0
1PZWFCkJ1hqfkjBqS3c3LSMsA1GTM1XUcF,19k8nToWwMGuF4HkNpzgoVAYk4viBnEs5D,5000000000.0
1K8NEdX51w2p8zzuQJUK2c86V5KsY5i2H,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,5000000000.0
14YAB44nBb3JaLaVW2x5s7mkwCnz4CrZHP,1PAksBNU2KwUftBAhy5fSisrNMizDKFg8s,5000000000.0
1G17R6hmtBGhbCf9uddXHZEwZxaWcPusvv,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,5000000000.0
18D8mXcdgenzrG9YanvRXuYFhSVw87ESYs,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1ExVh6cGQGXjxwidQf32v2GTzSoyoictwj,1BYYn91v8wgVJ35pYR9x5twhQMPtk3oDew,5000000000.0
16D3hmFiPvx7osvBFDbfoEe6ksm4wxcdKe,1BYYn91v8wgVJ35pYR9x5twhQMPtk3oDew,5000000000.0
1ERuiwf8YKgHgzTDhkmxBfPVJdB1i39UCM,1JJ9tar9dYpBNqZPBJv7VUtk146XkYbTfL,5000000000.0
18pbRtCzD4L147n2k2UU36SQnCULaFNE9s,16a3Q6sWBtkvbJFmzDFgA6mboaZ93qKoqV,5000000000.0
1Jh6iMnJBvsueeWz8CCNq1RcmV9sqiPH6x,1GiFyGXPd8qUNHe5dtWbt2G3dPs5rxRPeN,5000000000.0
1UN16x7h8xq4uqJ8dHfy51qXRYXtxyKxL,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1L33aJxaZoSJ16zxFKwPjcxKaffQq2oWoN,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1Ky1c42fhnL6yLqsNYbQid5itph1WAuYoo,1GiFyGXPd8qUNHe5dtWbt2G3dPs5rxRPeN,5000000000.0
1UL6qorRfECWvTVK5tWsWpdwMRgwMnJvV,1QAb7fzfRZWrVkd3tjNnxJmTnHeJ6VCkFi,5000000000.0
181N1UmYVkFcS8sCiTDFF4e9vUQPRvJXPv,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
17EbBL7KFUc9Ptod64X4qJ8t9Yus7VEphF,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
16Vxghg8CH7ABFyz4ewrBwGuwRJq9vjj6Q,1HSbBi1K4aVRfvge6XKrQpNcUA9Wp96RHJ,5000000000.0
1DNKqMUQYFqJGQtw6deBeN12rWESSzxH59,1DMD6S6rPwwTVHhSaLsfESAiMhCJYhj55e,5000000000.0
1H8ub2wfUWvuAu4TJrX5S6WTdbdtiRWcpj,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,5000000000.0
15c7siVmpFgPciz9nFhqJ92vwpGujNfuRy,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
14kkC4aG1gtZ2RM2sdae7VCZAPGjvydRd1,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1BHsAQuhPHw5563n5sTwweQ1fdWVfkYwHP,15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,5000000000.0
1Ce3okMujrKcUeGS3zj897cL8oLN759Fcy,1FL5RCbqhkoN18ZauyHzS4bVamm4RhezXr,5000000000.0
1LvrNXSUorq2ViLmqFHJBSgtb7bBi3MSbG,1Q9tEEVTimwGnpYzRf6b2vhdaZz9sG8WNy,5000000000.0
1NW2NiA9FSaRT1omFV2bAkHcNKEowDqwdA,1HaHTfmvoUW6i6nhJf8jJs6tU4cHNmBQHQ,5000000000.0
1HVdSkdieGbWwPVKTtGMgvFtTrRPyspbW6,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
16aJZUCtue9Q7GiRHxmTLhL7CFWDFGdWrk,1FL5RCbqhkoN18ZauyHzS4bVamm4RhezXr,5000000000.0
1MndXKSvtvnpJNpjprnYps4KSet4U6sKDV,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1G4JMGBmdpFZNXLGChYejK7cHTTvLL3BJa,1XPTgDRhN8RFnzniWCddobD9iKZatrvH4,5000000000.0
1K97gbFX67PxM5d4nnaSy2MYKfGNxLowKK,1FTRFq58Lx3VEPgQWs6U4bAFHFt7o6ZLf9,5000000000.0
1ANQfBuc4PvTfYviR585etvFx2e6qD3H7z,18NJ1NWoZd9RGrWYpmU6A7BgQddz7oT1bk,5000000000.0
1K4evYpGAGDuVAjAhvHY5Z6DH5jvCMn29s,1Q9tEEVTimwGnpYzRf6b2vhdaZz9sG8WNy,5000000000.0
